Name,Rebounds
Kyrie Irving,-1.1546249418484171
Max Christie,5.288138592930359
Dereck Lively II,5.593411807351471
Naji Marshall,8.836398861670858
P.J. Washington,0.937513438498728
Brandon Williams,3.9034579073410267
Santi Aldama,4.51115453987105
Desmond Bane,4.340982741250576
Zach Edey,7.32693899664384
Jay Huff,1.4190167249316588
Jaren Jackson Jr.,4.598618211282824
Yuki Kawamura,1.017545748811294
Luke Kennard,1.7314052021524677
John Konchar,5.7321006001685895
Ja Morant,3.5432565700597
Miles Norris,1.32938737460871
Scotty Pippen Jr.,2.4897935798900166
Christian Braun,5.2210732378514635
Aaron Gordon,4.719989753541489
Nikola Jokic,10.293976715814471
Spencer Jones,1.0434782983066526
DeAndre Jordan,5.912844561249816
Jamal Murray,3.1247329996904587
Zeke Nnaji,0.5513167856253345
Jalen Pickett,2.1648259272515746
Michael Porter Jr.,5.880191807302394
Peyton Watson,3.558137563717599
Russell Westbrook,3.434520081669968
Steven Adams,6.924126805322876
Dillon Brooks,2.3406269019097117
N'Faly Dante,1.5944483178924562
Tari Eason,4.47779934326633
Jalen Green,3.672456816112079
Aaron Holiday,0.357626067103646
Jock Landale,3.636205109048701
Alperen Sengun,7.613547012081957
Jabari Smith,6.636388877902542
Amen Thompson,6.101361788739583
Fred VanVleet,3.1645065884460597
Jaden Springer,6.075551258099145
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
